Golden Energy Development — ตารางคำนวณราคาติดตั้งโซลาร์ (รวม VAT · 2 tier),,,,,,,,,,,,,,
"⚠️ จำนวนแผงคำนวณอัตโนมัติ (ปัดเลขคู่). Value=Anern / Premium=Huawei. ค่าแผง JA720W ไม่รวม VAT. ราคา inverter Huawei = ประมาณ ต้อง verify",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
สมมติฐาน (แก้ตรงนี้),ค่า,หมายเหตุ,,,,,,,,,,,,
ค่าแผง JA720W (ไม่รวม VAT),4.33,฿/W,,,,,,,,,,,,
ค่าโครง,600,฿/แผง (ราง+clamp+feet — verify),,,,,,,,,,,,
ค่าสาย+ตู้control,1750,฿/kW,,,,,,,,,,,,
ค่าแรง,2800,฿/kW,,,,,,,,,,,,
ค่าคงที่/งาน,15000,฿/งาน — verify,,,,,,,,,,,,
Contingency,0.07,7%,,,,,,,,,,,,
Margin,0.30,30% (ลอง 0.25-0.35),,,,,,,,,,,,
VAT,0.07,7%,,,,,,,,,,,,
ค่าแบต LiFePO4,12000,฿/kWh — verify,,,,,,,,,,,,
Oversizing on-grid,1.2,เผื่อแผง 20%,,,,,,,,,,,,
Oversizing hybrid,1.5,เผื่อแผง 50%,,,,,,,,,,,,
กำลังแผง (W),720,,,,,,,,,,,,,
,,,,,,,,,,,,,,
=== ON-GRID / VALUE tier (inverter Anern) ===,,,,,,,,,,,,,,
kW,แผง,ค่าแผง,inverter,ค่าโครง,ค่าสาย,ค่าแรง,คงที่,Contingency,COGS,ราคาก่อนVAT,VAT,ราคารวมVAT,กำไร,margin%
3,=EVEN(A20*1000*$B$14/$B$16),=B20*$B$16*$B$5,5700,=B20*$B$6,=A20*$B$7,=A20*$B$8,=$B$9,=(C20+D20+E20+F20+G20)*$B$10,=SUM(C20:I20),=J20/(1-$B$11),=K20*$B$12,=K20+L20,=K20-J20,=(K20-J20)/K20
5,=EVEN(A21*1000*$B$14/$B$16),=B21*$B$16*$B$5,8900,=B21*$B$6,=A21*$B$7,=A21*$B$8,=$B$9,=(C21+D21+E21+F21+G21)*$B$10,=SUM(C21:I21),=J21/(1-$B$11),=K21*$B$12,=K21+L21,=K21-J21,=(K21-J21)/K21
10,=EVEN(A22*1000*$B$14/$B$16),=B22*$B$16*$B$5,18450,=B22*$B$6,=A22*$B$7,=A22*$B$8,=$B$9,=(C22+D22+E22+F22+G22)*$B$10,=SUM(C22:I22),=J22/(1-$B$11),=K22*$B$12,=K22+L22,=K22-J22,=(K22-J22)/K22
15,=EVEN(A23*1000*$B$14/$B$16),=B23*$B$16*$B$5,18500,=B23*$B$6,=A23*$B$7,=A23*$B$8,=$B$9,=(C23+D23+E23+F23+G23)*$B$10,=SUM(C23:I23),=J23/(1-$B$11),=K23*$B$12,=K23+L23,=K23-J23,=(K23-J23)/K23
20,=EVEN(A24*1000*$B$14/$B$16),=B24*$B$16*$B$5,40000,=B24*$B$6,=A24*$B$7,=A24*$B$8,=$B$9,=(C24+D24+E24+F24+G24)*$B$10,=SUM(C24:I24),=J24/(1-$B$11),=K24*$B$12,=K24+L24,=K24-J24,=(K24-J24)/K24
,,,,,,,,,,,,,,
=== ON-GRID / PREMIUM tier (inverter Huawei — verify ราคา) ===,,,,,,,,,,,,,,
kW,แผง,ค่าแผง,inverter,ค่าโครง,ค่าสาย,ค่าแรง,คงที่,Contingency,COGS,ราคาก่อนVAT,VAT,ราคารวมVAT,กำไร,margin%
3,=EVEN(A28*1000*$B$14/$B$16),=B28*$B$16*$B$5,18000,=B28*$B$6,=A28*$B$7,=A28*$B$8,=$B$9,=(C28+D28+E28+F28+G28)*$B$10,=SUM(C28:I28),=J28/(1-$B$11),=K28*$B$12,=K28+L28,=K28-J28,=(K28-J28)/K28
